location_name,location_id,previous_location_id
福建省,00135000000000000000,00111111100000000000
福州市,00135010000000000000,00135000000000000000
市辖区,00135010100000000000,00135010000000000000
鼓楼区,00135010200000000000,00135010000000000000
台江区,00135010300000000000,00135010000000000000
仓山区,00135010400000000000,00135010000000000000
马尾区,00135010500000000000,00135010000000000000
晋安区,00135011100000000000,00135010000000000000
闽侯县,00135012100000000000,00135010000000000000
连江县,00135012200000000000,00135010000000000000
罗源县,00135012300000000000,00135010000000000000
闽清县,00135012400000000000,00135010000000000000
永泰县,00135012500000000000,00135010000000000000
平潭县,00135012800000000000,00135010000000000000
福清市,00135018100000000000,00135000000000000000
长乐市,00135018200000000000,00135000000000000000
厦门市,00135020000000000000,00135000000000000000
市辖区,00135020100000000000,00135020000000000000
思明区,00135020300000000000,00135020000000000000
海沧区,00135020500000000000,00135020000000000000
湖里区,00135020600000000000,00135020000000000000
集美区,00135021100000000000,00135020000000000000
同安区,00135021200000000000,00135020000000000000
翔安区,00135021300000000000,00135020000000000000
莆田市,00135030000000000000,00135000000000000000
市辖区,00135030100000000000,00135030000000000000
城厢区,00135030200000000000,00135030000000000000
涵江区,00135030300000000000,00135030000000000000
荔城区,00135030400000000000,00135030000000000000
秀屿区,00135030500000000000,00135030000000000000
仙游县,00135032200000000000,00135030000000000000
三明市,00135040000000000000,00135000000000000000
市辖区,00135040100000000000,00135040000000000000
梅列区,00135040200000000000,00135040000000000000
三元区,00135040300000000000,00135040000000000000
明溪县,00135042100000000000,00135040000000000000
清流县,00135042300000000000,00135040000000000000
宁化县,00135042400000000000,00135040000000000000
大田县,00135042500000000000,00135040000000000000
尤溪县,00135042600000000000,00135040000000000000
沙县,00135042700000000000,00135040000000000000
将乐县,00135042800000000000,00135040000000000000
泰宁县,00135042900000000000,00135040000000000000
建宁县,00135043000000000000,00135040000000000000
永安市,00135048100000000000,00135000000000000000
泉州市,00135050000000000000,00135000000000000000
市辖区,00135050100000000000,00135050000000000000
鲤城区,00135050200000000000,00135050000000000000
丰泽区,00135050300000000000,00135050000000000000
洛江区,00135050400000000000,00135050000000000000
泉港区,00135050500000000000,00135050000000000000
惠安县,00135052100000000000,00135050000000000000
安溪县,00135052400000000000,00135050000000000000
永春县,00135052500000000000,00135050000000000000
德化县,00135052600000000000,00135050000000000000
金门县,00135052700000000000,00135050000000000000
石狮市,00135058100000000000,00135000000000000000
晋江市,00135058200000000000,00135000000000000000
南安市,00135058300000000000,00135000000000000000
漳州市,00135060000000000000,00135000000000000000
市辖区,00135060100000000000,00135060000000000000
芗城区,00135060200000000000,00135060000000000000
龙文区,00135060300000000000,00135060000000000000
云霄县,00135062200000000000,00135060000000000000
漳浦县,00135062300000000000,00135060000000000000
诏安县,00135062400000000000,00135060000000000000
长泰县,00135062500000000000,00135060000000000000
东山县,00135062600000000000,00135060000000000000
南靖县,00135062700000000000,00135060000000000000
平和县,00135062800000000000,00135060000000000000
华安县,00135062900000000000,00135060000000000000
龙海市,00135068100000000000,00135000000000000000
南平市,00135070000000000000,00135000000000000000
市辖区,00135070100000000000,00135070000000000000
延平区,00135070200000000000,00135070000000000000
顺昌县,00135072100000000000,00135070000000000000
浦城县,00135072200000000000,00135070000000000000
光泽县,00135072300000000000,00135070000000000000
松溪县,00135072400000000000,00135070000000000000
政和县,00135072500000000000,00135070000000000000
邵武市,00135078100000000000,00135000000000000000
武夷山市,00135078200000000000,00135000000000000000
建瓯市,00135078300000000000,00135000000000000000
建阳市,00135078400000000000,00135000000000000000
龙岩市,00135080000000000000,00135000000000000000
市辖区,00135080100000000000,00135080000000000000
新罗区,00135080200000000000,00135080000000000000
长汀县,00135082100000000000,00135080000000000000
永定县,00135082200000000000,00135080000000000000
上杭县,00135082300000000000,00135080000000000000
武平县,00135082400000000000,00135080000000000000
连城县,00135082500000000000,00135080000000000000
漳平市,00135088100000000000,00135000000000000000
宁德市,00135090000000000000,00135000000000000000
市辖区,00135090100000000000,00135090000000000000
蕉城区,00135090200000000000,00135090000000000000
霞浦县,00135092100000000000,00135090000000000000
古田县,00135092200000000000,00135090000000000000
屏南县,00135092300000000000,00135090000000000000
寿宁县,00135092400000000000,00135090000000000000
周宁县,00135092500000000000,00135090000000000000
柘荣县,00135092600000000000,00135090000000000000
福安市,00135098100000000000,00135000000000000000
福鼎市,00135098200000000000,00135000000000000000
台湾省,00171000000000000000,00111111100000000000
香港特别行政区,00181000000000000000,00111111100000000000
澳门特别行政区,00182000000000000000,00111111100000000000
北京市,00111000000000000000,00111111100000000000
市辖区,00111010000000000000,00135098200000000000
东城区,00111010100000000000,00135098200000000000
西城区,00111010200000000000,00135098200000000000
朝阳区,00111010500000000000,00135098200000000000
丰台区,00111010600000000000,00135098200000000000
石景山区,00111010700000000000,00135098200000000000
海淀区,00111010800000000000,00135098200000000000
门头沟区,00111010900000000000,00135098200000000000
房山区,00111011100000000000,00135098200000000000
通州区,00111011200000000000,00135098200000000000
顺义区,00111011300000000000,00135098200000000000
昌平区,00111011400000000000,00135098200000000000
大兴区,00111011500000000000,00135098200000000000
怀柔区,00111011600000000000,00135098200000000000
平谷区,00111011700000000000,00135098200000000000
县,00111020000000000000,00135098200000000000
密云县,00111022800000000000,00135098200000000000
延庆县,00111022900000000000,00135098200000000000
天津市,00112000000000000000,00111111100000000000
市辖区,00112010000000000000,00135098200000000000
和平区,00112010100000000000,00135098200000000000
河东区,00112010200000000000,00135098200000000000
河西区,00112010300000000000,00135098200000000000
南开区,00112010400000000000,00135098200000000000
河北区,00112010500000000000,00135098200000000000
红桥区,00112010600000000000,00135098200000000000
东丽区,00112011000000000000,00135098200000000000
西青区,00112011100000000000,00135098200000000000
津南区,00112011200000000000,00135098200000000000
北辰区,00112011300000000000,00135098200000000000
武清区,00112011400000000000,00135098200000000000
宝坻区,00112011500000000000,00135098200000000000
滨海新区,00112011600000000000,00135098200000000000
