id_index,officer_name,place_of_birth_id
"00200000000000013000","谢商华","00100000000000000000"
"00200000000000015000","周峰越","00100000000000000000"
"00200000000000019000","丁树哲","00100000000000000000"
"00200000000000031000","李铁子","00100000000000000000"
"00200000000000047000","赵小兰","00100000000000000000"
"00200000000000060000","王忠太","00100000000000000000"
"00200000000000093000","吕静治","00100000000000000000"
"00200000000000117000","谭长发","00100000000000000000"
"00200000000000121000","杜茂林","00100000000000000000"
"00200000000000143000","徐宗一","00100000000000000000"
"00200000000000172000","张金隆","00100000000000000000"
"00200000000000188000","李存雄","00100000000000000000"
"00200000000000202000","蔡速平","00100000000000000000"
"00200000000000213000","来小鹏","00100000000000000000"
"00200000000000219000","张国山","00100000000000000000"
"00200000000000223000","黎一鸣","00100000000000000000"
"00200000000000244000","纪英男","00100000000000000000"
"00200000000000245000","韩德昌","00100000000000000000"
"00200000000000253000","马焕龙","00100000000000000000"
"00200000000000255000","叶学明","00100000000000000000"
"00200000000000333000","毕路佳","00100000000000000000"
"00200000000000382000","吴旦","00100000000000000000"
"00200000000000420000","李仁真","00100000000000000000"
"00200000000000450000","秦晓辉","00100000000000000000"
"00200000000000462000","于晓初","00100000000000000000"
"00200000000000494000","芮福彬","00100000000000000000"
"00200000000000514000","阿庆哥","00100000000000000000"
"00200000000000516000","杨延良","00100000000000000000"
"00200000000000563000","女省长","00100000000000000000"
"00200000000000586000","梁德标","00100000000000000000"
"00200000000000597000","严寅初","00100000000000000000"
"00200000000000599000","薛道成","00100000000000000000"
"00200000000000626000","樊君梅","00100000000000000000"
"00200000000000644000","伍星葵","00100000000000000000"
"00200000000000653000","周久耕","00100000000000000000"
"00200000000000724000","杨晓","00100000000000000000"
"00200000000000781000","邱录军","00100000000000000000"
"00200000000000812000","高国富","00100000000000000000"
"00200000000000814000","何学秋","00100000000000000000"
"00200000000000842000","李黑记","00100000000000000000"
"00200000000000846000","刘建功","00100000000000000000"
"00200000000000867000","任福君","00100000000000000000"
"00200000000000918000","翁静晶","00100000000000000000"
"00200000000000952000","骆家辉","00100000000000000000"
"00200000000000953000","葛七宝","00100000000000000000"
"00200000000000976000","薛素铎","00100000000000000000"
"00200000000000997000","欧绍轩","00100000000000000000"
"00200000000001005000","黄宁益","00100000000000000000"
"00200000000001008000","王鲁彤","00100000000000000000"
"00200000000001015000","黄兆团","00100000000000000000"
"00200000000001030000","蒋昕炜","00100000000000000000"
"00200000000001032000","陈晓琨","00100000000000000000"
"00200000000001036000","许建","00100000000000000000"
"00200000000001044000","张剑武","00100000000000000000"
"00200000000001048000","崔益民","00100000000000000000"
"00200000000001053000","林惠溪","00100000000000000000"
"00200000000001054000","谢红生","00100000000000000000"
"00200000000001057000","曲洪启","00100000000000000000"
"00200000000001064000","马柏成","00100000000000000000"
"00200000000001066000","曹富民","00100000000000000000"
"00200000000001072000","丁玉萍","00100000000000000000"
"00200000000001084000","宁秋娅","00100000000000000000"
"00200000000001098000","樊海涛","00100000000000000000"
"00200000000001111000","黄加训","00100000000000000000"
"00200000000001113000","王恩滨","00100000000000000000"
"00200000000001130000","刘烈宏","00100000000000000000"
"00200000000001131000","孙新雷","00100000000000000000"
"00200000000001136000","姚祖辉","00100000000000000000"
"00200000000001143000","褚民华","00100000000000000000"
"00200000000001149000","许传东","00100000000000000000"
"00200000000001156000","孙艳军","00100000000000000000"
"00200000000001168000","刘福成","00100000000000000000"
"00200000000001177000","谢波华","00100000000000000000"
"00200000000001185000","李大贤","00100000000000000000"
"00200000000001186000","孙汝辉","00100000000000000000"
"00200000000001187000","杜邦安","00100000000000000000"
"00200000000001194000","林士宽","00100000000000000000"
"00200000000001195000","王慎十","00100000000000000000"
"00200000000001212000","黄振春","00100000000000000000"
"00200000000001246000","黄德峰","00100000000000000000"
"00200000000001254000","李承龙","00100000000000000000"
"00200000000001259000","秦庆海","00100000000000000000"
