id_index,id_index_new,id_index_n,start_time,end_time,work_place_id,work_place,school_id,school,academy_id,academy
00262010000005928000,00262010000005928002,10000383_2,1981-9-1,1985-7-1,00163000000000000000,青海省,00333333300000270000,青海工农学院,00333333300000000000,
00241000000041479000,00241000000041479004,10001244_4,1984-9-1,1987-8-1,00161000000000000000,陕西省,00333333300000001000,陕西工商学院,00333333300000001000,
00221120000043906000,00221120000043906003,1000154_2,1973-12-1,1976-5-1,00121010000000000000,沈阳市,00333333300000002000,沈阳第一工业学校,00333333300000002000,
00221120000043906000,00221120000043906005,1000154_4,1978-10-1,1982-8-1,00121090000000000000,阜新市,00333333300000003000,阜新矿业学院,00333333300000003000,
00251000000027072000,00251000000027072001,10001640_1,1985-9-1,1987-7-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00251000000027072000,00251000000027072003,10001640_3,1997-9-1,1999-12-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00200000000038248000,00200000000038248002,10001725_2,2005-11-12,0-1-1,00151152500000000000,宜宾市高县,00333333300000005000,美国加洲大学,00333333300000005000,
00213032200014476000,00213032200014476004,10001843_3_1,1975-11-1,1978-8-1,00113000000000000000,河北省,00333333300000006000,河北大学,00333333300000006000,
00261000000023712000,00261000000023712001,10002694_1,1982-9-1,1985-7-1,00161010000000000000,西安市,00333333300000007000,西安广播电视大学,00333333300000007000,
00213000000008369000,00213000000008369001,10004001_1,1984-9-1,1987-6-1,00131020000000000000,上海市县,00333333300000008000,中国政法大学,00333333300000008000,
00213000000008369000,00213000000008369003,10004001_3,2004-9-1,2005-1-1,00131020000000000000,上海市县,00333333300000009000,中央党校,00333333300000009000,
00237088200010273000,00237088200010273003,10006894_3,1978-10-1,1982-2-1,00121000000000000000,辽宁省,00333333300000010000,辽宁财经学院基本建设财务,00333333300000010000,
00233000000031710000,00233000000031710001,10007545_1,1980-9-1,1984-7-1,00133000000000000000,浙江省,00333333300000011000,浙江工学院电子工程系工业电气,00333333300000011000,
00242068300028017000,00242068300028017008,10007558_8,1978-3-1,1982-1-1,00161052100000000000,渭南市华县,00333333300000012000,华中农学院,00333333300000012000,
00262000000038922000,00262000000038922001,10009298_1,1971-6-1,1973-8-1,00111000000000000000,北京市,00333333300000013000,北京大学,00333333300000013000,
00200000000038568000,00200000000038568001,10009982_2,1989-4-1,1991-4-1,00111000000000000000,北京市,00333333300000014000,北京经济函授大学,00333333300000014000,
00200000000038568000,00200000000038568002,10009982_3,1991-9-1,1997-6-1,00131020000000000000,上海市县,00333333300000015000,中国人民大学,00333333300000015001,土地管理系
00237083200004917000,00237083200004917010,10010328_6_1,1955-1-1,1956-1-1,00142102200000000000,荆州市公安县,00333333300000016000,公安学院,00333333300000016000,
00213040000023368000,00213040000023368002,10010541_2,1998-6-1,2000-6-1,00113000000000000000,河北省,00333333300000006000,河北大学,00333333300000006002,经济学院
00213040000023368000,00213040000023368005,10010541_3_3,2004-6-1,2004-9-1,00161052100000000000,渭南市华县,00333333300000017000,清华大学,00333333300000017003,公共管理学院
00213040000023368000,00213040000023368006,10010541_4,1980-10-1,1984-8-1,00114000000000000000,山西省,00333333300000018000,山西财经学院,00333333300000018000,
00213000000029409000,00213000000029409001,10011762_1,1983-9-1,1984-9-1,00131020000000000000,上海市县,00333333300000019000,复旦大学,00333333300000019004,历史地理研究所
00213000000029409000,00213000000029409005,10011762_4,1978-10-1,1982-9-1,00112000000000000000,天津市,00333333300000020000,天津师范学院,00333333300000020000,
00213000000022080000,00213000000022080001,10014357_1,1978-8-1,1982-8-1,00113000000000000000,河北省,00333333300000021000,河北工学院,00333333300000021000,
00250000000023434000,00250000000023434006,10014422_6,1984-9-1,1988-7-1,00151000000000000000,四川省,00333333300000022000,四川大学,00333333300000022000,
00233000000017254000,00233000000017254002,10016225_3,1996-9-1,1999-7-1,00133000000000000000,浙江省,00333333300000023000,浙江海洋学院,00333333300000023000,
00246000000021816000,00246000000021816002,10018216_2,2006-8-1,2006-10-1,00190000100000000000,中青班,00333333300000024000,省组织部大学,00333333300000024000,
00246900600010358000,00246900600010358001,10018263_1,1991-4-1,1992-7-1,00131020000000000000,上海市县,00333333300000015000,中国人民大学,00333333300000015005,函授学院
00246900600010358000,00246900600010358005,10018263_5,1984-9-1,1986-7-1,00144000000000000000,广东省,00333333300000025000,广东民族学院,00333333300000025000,
00235018100036615000,00235018100036615003,10018_4,1978-1-1,1982-1-1,00131020000000000000,上海市县,00333333300000026000,中国科学技术大学,00333333300000026006,物理系
00250000000030327000,00250000000030327001,10021340_1,1996-8-1,1999-7-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000030327000,00250000000030327002,10021340_2,1999-8-1,2001-4-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00214000000036273000,00214000000036273001,10021483_2,1997-8-1,1999-12-1,00131020000000000000,上海市县,00333333300000028000,中央党校函授学院,00333333300000028000,
00214000000036273000,00214000000036273005,10021483_5,1983-9-1,1984-9-1,00114000000000000000,山西省,00333333300000029000,山西省委党校,00333333300000029000,
00214000000036273000,00214000000036273007,10021483_7,1985-9-1,1986-7-1,00114000000000000000,山西省,00333333300000029000,山西省委党校,00333333300000029000,
00214000000018221000,00214000000018221003,10021603_3,1980-8-1,1984-8-1,00114010000000000000,太原市,00333333300000030000,太原工学院水利工程系农水,00333333300000030000,
00250000000008386000,00250000000008386002,10021755_2,1998-9-1,2000-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000008386000,00250000000008386006,10021755_6,2011-3-1,2011-7-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000008386000,00250000000008386007,10021755_7,1985-9-1,1989-7-1,00151000000000000000,四川省,00333333300000031000,四川省万县农业学校,00333333300000031000,
00214000000024552000,00214000000024552001,10021824_1,2005-12-1,0-1-1,00114000000000000000,山西省,00333333300000032000,山西大学,00333333300000032000,
00214000000024552000,00214000000024552002,10021824_2,1978-7-1,1981-7-1,00114000000000000000,山西省,00333333300000033000,山西省忻州师专,00333333300000033000,
00214000000024552000,00214000000024552004,10021824_4,1983-9-1,1985-8-1,00111000000000000000,北京市,00333333300000034000,北京外国语学院,00333333300000034000,
00251000000029594000,00251000000029594002,10021_2,1994-9-1,1996-7-1,00190000100000000000,外国,00333333300000035000,云南大学,00333333300000035000,
00250000000001078000,00250000000001078001,10022034_1,1983-8-1,1985-8-1,00162122200000000000,陇南市文县,00333333300000036000,万县教育学院,00333333300000036000,
00250000000001078000,00250000000001078002,10022034_2,1989-7-1,1992-12-1,00162122200000000000,陇南市文县,00333333300000037000,西南师范大学,00333333300000037000,
00250000000001078000,00250000000001078004,10022034_4,1978-9-1,1981-7-1,00151000000000000000,四川省,00333333300000038000,四川省巫山师范学校,00333333300000038000,
00251138100017905000,00251138100017905002,10022517_2,2009-3-1,2010-3-1,00143092100000000000,益阳市南县,00333333300000039000,新加坡南洋理工大学,00333333300000039000,
00251138100017905000,00251138100017905003,10022517_3,1993-9-1,1997-7-1,00151000000000000000,四川省,00333333300000040000,四川外语学院,00333333300000040000,
00250000000018072000,00250000000018072001,10022794_1,1997-9-1,1999-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000018072000,00250000000018072004,10022794_4,1987-9-1,1990-7-1,00151000000000000000,四川省,00333333300000041000,四川省开县师范学校,00333333300000041000,
00214118200021284000,00214118200021284003,10022811_3_1,1984-9-1,1994-2-1,00114110000000000000,吕梁市,00333333300000042000,师范专科大学,00333333300000042000,
00244078100010582000,00244078100010582002,10022957_2,1976-9-1,1979-6-1,00113000000000000000,河北省,00333333300000043000,河北地质学院,00333333300000043000,
00250000000023345000,00250000000023345002,10023065_2,1995-8-1,1997-12-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000023345000,00250000000023345004,10023065_4,2009-3-1,2009-7-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000023345000,00250000000023345005,10023065_5,1982-9-1,1985-7-1,00151000000000000000,四川省,00333333300000044000,四川省林业学校,00333333300000044000,
00250000000016925000,00250000000016925001,10023186_1,1993-7-1,1996-4-1,00151000000000000000,四川省,00333333300000045000,四川教育学院,00333333300000045000,
00250000000016925000,00250000000016925002,10023186_2,1999-9-1,2002-7-1,00143092100000000000,益阳市南县,00333333300000037000,西南师范大学,00333333300000037000,
00250000000016925000,00250000000016925004,10023186_4,2010-9-1,2011-1-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000016925000,00250000000016925005,10023186_5,1982-9-1,1985-7-1,00151000000000000000,四川省,00333333300000038000,四川省巫山师范学校,00333333300000038000,
00251160000036945000,00251160000036945008,10023353_7_1,2006-7-1,2010-6-1,00131020000000000000,上海市县,00333333300000046000,电子科技大学,00333333300000046000,
00251160000036945000,00251160000036945010,10023353_8,1980-9-1,1984-7-1,00151010000000000000,成都市,00333333300000047000,成都电讯工程学院,00333333300000047000,
00234000000001557000,00234000000001557001,10024856_1,1995-1-1,1996-1-1,00131020000000000000,上海市县,00333333300000048000,美国斯坦福大学,00333333300000048000,
00261000000017597000,00261000000017597004,1002639_3,1980-9-1,1984-7-1,00131020000000000000,上海市县,00333333300000049000,西北农业大学,00333333300000049000,
00213068400032843000,00213068400032843005,10028_5,1972-5-1,1974-8-1,00137000000000000000,山东省,00333333300000050000,山东机械工业学校,00333333300000050000,
00222020000023805000,00222020000023805001,10029016_1,1978-9-1,1982-9-1,00122020000000000000,吉林市,00333333300000051000,吉林大学,00333333300000051000,
00261000000029691000,00261000000029691006,10029886_4,1992-8-1,1994-12-1,00131020000000000000,上海市县,00333333300000028000,中央党校函授学院,00333333300000028000,
00222000000017435000,00222000000017435006,10030746_5,1983-7-1,1985-7-1,00141092600000000000,濮阳市范县,00333333300000052000,东北师范大学,00333333300000052000,
00222240500017537000,00222240500017537002,10030806_2,1978-2-1,1982-1-1,00122020000000000000,吉林市,00333333300000053000,吉林工业大学,00333333300000053000,
00261000000022551000,00261000000022551001,10033499_1,1981-9-1,1985-7-1,00161000000000000000,陕西省,00333333300000054000,陕西师范大学,00333333300000054000,
00222020000016352000,00222020000016352004,10035417_5,1980-9-1,1984-7-1,00122020000000000000,吉林市,00333333300000055000,吉林工学院管理工程系,00333333300000055000,
00237000000000589000,00237000000000589001,10037042_1,1988-8-1,1993-6-1,00137000000000000000,山东省,00333333300000056000,山东教育学院,00333333300000056000,
00237000000000589000,00237000000000589003,10037042_4,1986-9-1,1988-7-1,00137090000000000000,泰安市,00333333300000057000,泰安师专中文系,00333333300000057000,
00232000000029206000,00232000000029206002,10039451_2,1980-9-1,1983-6-1,00132000000000000000,江苏省,00333333300000058000,江苏省淮阴市师范专科学校,00333333300000058000,
00237020000024544000,00237020000024544002,10039646_2,1994-9-1,0-1-1,00137020000000000000,青岛市,00333333300000059000,青岛大学,00333333300000059007,法学院
00200000000012847000,00200000000012847005,10040177_5,1997-8-1,2002-7-1,00131020000000000000,上海市县,00333333300000060000,美国芝加哥大学,00333333300000060000,
00253290100027522000,00253290100027522002,10041_2,1982-9-1,1986-7-1,00153000000000000000,云南省,00333333300000061000,云南农业大学,00333333300000061008,园艺系
00243010000001009000,00243010000001009001,10044586_1,1996-8-1,1998-12-1,00131020000000000000,上海市县,00333333300000028000,中央党校函授学院,00333333300000028000,
00243010000001009000,00243010000001009010,10044586_10,1986-9-1,1988-6-1,00143130000000000000,娄底市,00333333300000062000,娄底地委党校,00333333300000062000,
00243010000001009000,00243010000001009002,10044586_2,1999-3-1,1999-7-1,00190000100000000000,中青班,00333333300000063000,省委党校,00333333300000063000,
00243010000001009000,00243010000001009005,10044586_5,1978-6-1,1979-7-1,00123080000000000000,佳木斯市,00333333300000064000,黑龙江佳木斯师专,00333333300000064000,
00237078200035186000,00237078200035186001,10044991_1,1986-8-1,1987-6-1,00137000000000000000,山东省,00333333300000065000,山东医科大学,00333333300000065000,
00237078200035186000,00237078200035186007,10044991_6,1977-12-1,1980-3-1,00137000000000000000,山东省,00333333300000066000,山东省益都卫生学校,00333333300000066000,
00243080000036597000,00243080000036597008,10045024_10,2000-9-1,2000-11-1,00143000000000000000,湖南省,00333333300000067000,湖南省委党校,00333333300000067000,
00243080000036597000,00243080000036597009,10045024_12,2003-3-1,2003-6-1,00131020000000000000,上海市县,00333333300000009000,中央党校,00333333300000009000,
00243080000036597000,00243080000036597012,10045024_15,1980-9-1,1983-7-1,00143310100000000000,吉首市,00333333300000068000,吉首大学,00333333300000068000,
00243080000036597000,00243080000036597001,10045024_2,1985-3-1,1985-5-1,00131020000000000000,上海市县,00333333300000069000,国防科大大学,00333333300000069000,
00243080000036597000,00243080000036597006,10045024_8,1995-3-1,1995-7-1,00143000000000000000,湖南省,00333333300000067000,湖南省委党校,00333333300000067000,
00243000000042092000,00243000000042092001,10045069_1,2000-8-1,2002-12-1,00131020000000000000,上海市县,00333333300000028000,中央党校函授学院,00333333300000028000,
00243000000042092000,00243000000042092002,10045069_2,1978-9-1,1981-7-1,00143030000000000000,湘潭市,00333333300000070000,湖南农学院湘潭分院农学系,00333333300000070000,
00243138200023344000,00243138200023344002,10045082_2,1994-8-1,1996-12-1,00131020000000000000,上海市县,00333333300000028000,中央党校函授学院,00333333300000028000,
00237110200006308000,00237110200006308001,10045142_1,1979-9-1,1982-7-1,00137000000000000000,山东省,00333333300000071000,山东省盐业学校,00333333300000071000,
00200000000011550000,00200000000011550001,10045375_1,1984-9-1,1988-7-1,00137000000000000000,山东省,00333333300000072000,山东农业大学,00333333300000072000,
00214000000020653000,00214000000020653001,10047263_1,1984-9-1,1986-7-1,00121072700000000000,锦州市义县,00333333300000073000,中央党校培训部,00333333300000073000,
00252010000009708000,00252010000009708003,10048050_3,1978-11-1,1982-8-1,00152000000000000000,贵州省,00333333300000074000,贵州财经学院,00333333300000074000,
00214000000026196000,00214000000026196003,10048228_2_2,2006-6-1,2006-9-1,00161052100000000000,渭南市华县,00333333300000075000,哈佛大学,00333333300000075000,
00261000000036104000,00261000000036104004,10048591_4,1978-2-1,1982-1-1,00161010000000000000,西安市,00333333300000076000,西安交通大学,00333333300000076009,机械工程系
00232000000019213000,00232000000019213007,10048623_8,1980-9-1,1989-9-1,00132000000000000000,江苏省,00333333300000077000,江苏农学院,00333333300000077000,
